Date,Open,High,Low,Close,Volume
2022-04-12 00:00:00+05:30,800.0,800.0,750.0,770.0,2267
2022-04-13 00:00:00+05:30,794.9,798.85,752.0,764.2,1598
2022-04-18 00:00:00+05:30,764.2,789.8,751.0,763.55,733
2022-04-19 00:00:00+05:30,789.9,789.9,755.6,763.4,550
2022-04-20 00:00:00+05:30,755.95,774.25,733.0,747.45,1120
2022-04-21 00:00:00+05:30,765.75,769.95,720.0,733.7,3522
2022-04-22 00:00:00+05:30,736.15,742.95,722.0,737.65,1900
2022-04-25 00:00:00+05:30,736.0,736.0,701.0,717.2,2017
2022-04-26 00:00:00+05:30,727.3,746.35,712.0,724.4,1112
2022-04-27 00:00:00+05:30,720.5,757.35,714.4,725.9,1963
2022-04-28 00:00:00+05:30,725.0,750.1,716.15,731.85,1021
2022-04-29 00:00:00+05:30,718.6,736.9,713.0,717.4,965
2022-05-02 00:00:00+05:30,744.0,744.0,695.0,700.25,1148
2022-05-04 00:00:00+05:30,700.25,729.95,680.0,697.05,1526
2022-05-05 00:00:00+05:30,711.9,724.95,679.95,689.45,1448
2022-05-06 00:00:00+05:30,671.0,682.95,620.0,656.7,6575
2022-05-09 00:00:00+05:30,656.7,675.2,645.0,664.65,1721
2022-05-10 00:00:00+05:30,658.95,680.5,655.0,668.7,1166
2022-05-11 00:00:00+05:30,665.0,690.5,615.05,649.4,2591
2022-05-12 00:00:00+05:30,649.4,674.0,630.4,649.5,1012
2022-05-13 00:00:00+05:30,694.9,694.9,636.2,649.1,1180
2022-05-16 00:00:00+05:30,694.0,694.0,634.15,647.5,672
2022-05-17 00:00:00+05:30,660.05,679.95,649.95,656.7,1192
2022-05-18 00:00:00+05:30,661.05,665.35,624.95,639.55,1262
2022-05-19 00:00:00+05:30,634.0,642.45,623.75,631.3,599
2022-05-20 00:00:00+05:30,637.0,652.15,615.05,629.7,1333
2022-05-23 00:00:00+05:30,634.3,634.3,595.4,601.25,2684
2022-05-24 00:00:00+05:30,601.0,620.05,590.95,597.55,1657
2022-05-25 00:00:00+05:30,604.4,610.0,591.95,599.85,2056
2022-05-26 00:00:00+05:30,606.0,613.85,501.6,559.05,7070
2022-05-27 00:00:00+05:30,593.9,593.9,541.0,557.7,3097
2022-05-30 00:00:00+05:30,589.0,598.95,566.35,574.3,2600
2022-05-31 00:00:00+05:30,595.05,595.05,552.2,563.1,2194
2022-06-01 00:00:00+05:30,575.0,575.0,555.65,566.8,516
2022-06-02 00:00:00+05:30,584.05,584.05,560.0,564.15,1176
2022-06-03 00:00:00+05:30,594.3,594.3,560.05,563.95,511
2022-06-06 00:00:00+05:30,570.9,578.3,544.6,558.35,905
2022-06-07 00:00:00+05:30,568.5,599.95,557.75,581.25,861
2022-06-08 00:00:00+05:30,581.0,608.0,544.0,572.05,2135
2022-06-09 00:00:00+05:30,593.0,593.0,564.8,576.45,568
2022-06-10 00:00:00+05:30,576.05,590.25,566.35,579.5,1516
2022-06-13 00:00:00+05:30,566.0,695.4,526.1,650.4,3892
2022-06-14 00:00:00+05:30,625.0,625.9,595.05,609.2,2549
2022-06-15 00:00:00+05:30,640.3,640.3,582.0,590.95,1031
2022-06-16 00:00:00+05:30,635.05,635.05,561.0,568.55,2230
2022-06-17 00:00:00+05:30,568.55,568.55,520.0,555.2,1408
2022-06-20 00:00:00+05:30,555.2,595.05,530.0,540.95,958
2022-06-21 00:00:00+05:30,540.95,580.05,525.0,547.5,1130
2022-06-22 00:00:00+05:30,564.05,564.05,535.35,552.35,614
2022-06-23 00:00:00+05:30,554.05,595.05,554.0,566.1,383
2022-06-24 00:00:00+05:30,584.05,585.05,556.95,568.3,451
2022-06-27 00:00:00+05:30,584.05,585.05,523.85,550.75,1935
2022-06-28 00:00:00+05:30,568.9,568.9,538.3,552.85,1862
2022-06-29 00:00:00+05:30,541.6,559.9,531.95,551.1,524
2022-06-30 00:00:00+05:30,543.15,553.55,537.05,545.7,590
2022-07-01 00:00:00+05:30,555.05,565.55,535.05,541.3,602
2022-07-04 00:00:00+05:30,556.35,556.35,537.65,549.45,378
2022-07-05 00:00:00+05:30,560.05,560.05,535.0,538.75,1379
2022-07-06 00:00:00+05:30,557.05,595.0,533.8,545.4,8845
2022-07-07 00:00:00+05:30,546.95,576.1,544.1,563.35,2383
2022-07-08 00:00:00+05:30,578.0,578.0,553.55,559.1,254
2022-07-11 00:00:00+05:30,569.1,569.1,553.7,563.45,1788
2022-07-12 00:00:00+05:30,567.05,567.05,541.35,549.95,1309
2022-07-13 00:00:00+05:30,557.05,561.0,543.95,548.85,613
2022-07-14 00:00:00+05:30,557.05,557.45,529.95,533.15,5179
2022-07-15 00:00:00+05:30,547.05,547.05,521.0,529.85,1371
2022-07-18 00:00:00+05:30,544.45,555.35,535.0,537.6,937
2022-07-19 00:00:00+05:30,556.05,556.05,523.25,540.0,1136
2022-07-20 00:00:00+05:30,557.0,557.0,539.95,541.25,989
2022-07-21 00:00:00+05:30,542.05,557.55,534.95,549.8,1044
2022-07-22 00:00:00+05:30,556.0,556.0,535.05,539.95,3444
2022-07-25 00:00:00+05:30,548.9,549.95,525.3,539.9,1530
2022-07-26 00:00:00+05:30,546.05,552.95,530.35,544.85,861
2022-07-27 00:00:00+05:30,533.0,555.0,533.0,547.65,908
2022-07-28 00:00:00+05:30,554.05,557.45,536.3,541.25,875
2022-07-29 00:00:00+05:30,551.35,553.65,535.0,539.55,1253
2022-08-01 00:00:00+05:30,553.85,553.9,540.05,552.85,1114
2022-08-02 00:00:00+05:30,541.05,580.05,541.05,550.65,3137
2022-08-03 00:00:00+05:30,558.05,568.35,547.05,549.1,1217
2022-08-04 00:00:00+05:30,530.0,558.85,530.0,543.45,3000
2022-08-05 00:00:00+05:30,544.4,553.85,535.0,539.25,2086
2022-08-08 00:00:00+05:30,557.05,557.65,536.45,538.15,552
2022-08-10 00:00:00+05:30,550.05,557.65,523.85,537.55,1825
2022-08-11 00:00:00+05:30,566.95,566.95,534.65,544.55,766
2022-08-12 00:00:00+05:30,550.05,550.65,539.2,541.1,573
2022-08-16 00:00:00+05:30,537.55,562.0,537.55,548.85,1619
2022-08-17 00:00:00+05:30,559.05,577.5,538.2,564.85,4567
2022-08-18 00:00:00+05:30,563.0,576.3,543.0,561.3,2565
2022-08-19 00:00:00+05:30,561.0,570.0,542.0,543.8,3627
2022-08-22 00:00:00+05:30,547.95,625.0,535.3,592.55,20485
2022-08-23 00:00:00+05:30,595.0,624.8,595.0,615.65,7371
2022-08-24 00:00:00+05:30,623.35,634.0,598.2,601.85,3226
2022-08-25 00:00:00+05:30,620.0,632.0,601.85,613.35,5519
2022-08-26 00:00:00+05:30,629.95,632.0,608.4,623.35,2906
2022-08-29 00:00:00+05:30,623.35,645.3,576.55,633.25,6292
2022-08-30 00:00:00+05:30,641.8,729.9,633.7,686.35,30722
2022-09-01 00:00:00+05:30,716.0,729.0,696.0,712.2,13893
2022-09-02 00:00:00+05:30,729.0,729.0,680.65,700.5,5286
2022-09-05 00:00:00+05:30,710.05,718.65,680.65,689.75,2737
2022-09-06 00:00:00+05:30,705.0,705.0,669.95,690.8,4633
2022-09-07 00:00:00+05:30,685.0,709.7,683.2,701.0,3651
2022-09-08 00:00:00+05:30,714.95,717.0,694.9,698.9,1919
2022-09-09 00:00:00+05:30,702.05,702.2,680.5,690.15,3203
2022-09-12 00:00:00+05:30,698.3,705.9,582.7,661.45,16252
2022-09-13 00:00:00+05:30,678.0,690.0,655.0,664.05,6208
2022-09-14 00:00:00+05:30,643.85,678.2,638.95,663.25,1951
2022-09-15 00:00:00+05:30,679.9,679.9,650.5,661.85,1619
2022-09-16 00:00:00+05:30,679.8,679.8,615.0,620.4,10538
2022-09-19 00:00:00+05:30,637.95,637.95,579.0,582.85,18223
2022-09-20 00:00:00+05:30,597.95,615.0,575.0,602.95,8702
2022-09-21 00:00:00+05:30,602.95,615.15,570.0,584.2,8894
2022-09-22 00:00:00+05:30,573.55,602.0,573.55,597.6,2345
2022-09-23 00:00:00+05:30,607.05,607.05,584.0,592.9,2055
2022-09-26 00:00:00+05:30,600.0,628.35,565.0,582.05,4484
2022-09-27 00:00:00+05:30,582.05,604.65,569.95,594.3,1466
2022-09-28 00:00:00+05:30,594.3,614.0,581.95,590.3,959
2022-09-29 00:00:00+05:30,612.0,612.0,589.65,596.75,1869
2022-09-30 00:00:00+05:30,624.95,624.95,587.95,595.0,1663
2022-10-03 00:00:00+05:30,619.5,619.5,582.0,592.65,1668
2022-10-04 00:00:00+05:30,610.05,611.05,581.55,592.35,1384
2022-10-06 00:00:00+05:30,606.95,606.95,585.0,588.0,6431
2022-10-07 00:00:00+05:30,600.0,600.05,579.55,583.0,3224
2022-10-10 00:00:00+05:30,582.45,597.55,580.05,592.5,2521
2022-10-11 00:00:00+05:30,597.75,610.0,585.3,599.9,1922
2022-10-12 00:00:00+05:30,614.05,615.4,588.05,599.75,1643
2022-10-13 00:00:00+05:30,610.0,620.0,585.0,609.7,4218
2022-10-14 00:00:00+05:30,622.0,626.75,595.75,603.3,3627
2022-10-17 00:00:00+05:30,608.55,609.0,593.5,600.6,915
2022-10-18 00:00:00+05:30,591.0,609.55,587.75,602.0,3609
2022-10-19 00:00:00+05:30,610.05,610.05,590.0,592.4,754
2022-10-20 00:00:00+05:30,583.85,639.0,581.3,628.3,2991
2022-10-21 00:00:00+05:30,628.0,644.0,605.85,616.85,2069
2022-10-24 00:00:00+05:30,635.05,635.05,570.0,620.5,100980
2022-10-25 00:00:00+05:30,628.05,634.95,607.9,625.9,1106
2022-10-27 00:00:00+05:30,639.0,639.0,603.85,622.9,1710
2022-10-28 00:00:00+05:30,632.0,634.05,615.9,626.9,2184
2022-10-31 00:00:00+05:30,621.7,621.7,603.05,612.35,949
2022-11-01 00:00:00+05:30,613.95,624.9,610.1,618.2,744
2022-11-02 00:00:00+05:30,611.05,630.05,610.5,627.35,3621
2022-11-03 00:00:00+05:30,620.7,629.9,607.6,618.0,3535
2022-11-04 00:00:00+05:30,623.05,625.0,603.4,615.0,1424
2022-11-07 00:00:00+05:30,615.0,629.0,611.5,629.0,1154
2022-11-09 00:00:00+05:30,622.8,649.0,601.1,610.7,4224
2022-11-10 00:00:00+05:30,610.65,615.15,590.0,606.7,2788
2022-11-11 00:00:00+05:30,610.5,619.0,602.55,605.5,5376
2022-11-14 00:00:00+05:30,610.05,615.05,593.0,597.85,2016
2022-11-15 00:00:00+05:30,614.55,614.55,575.95,582.0,4148
2022-11-16 00:00:00+05:30,588.95,618.0,573.55,582.75,2987
2022-11-17 00:00:00+05:30,590.0,592.1,575.05,583.95,5046
2022-11-18 00:00:00+05:30,596.05,596.05,573.55,584.3,2123
2022-11-21 00:00:00+05:30,583.45,590.0,580.0,589.4,1108
2022-11-22 00:00:00+05:30,585.9,599.0,577.45,594.2,559
2022-11-23 00:00:00+05:30,614.5,614.5,587.95,595.6,797
2022-11-24 00:00:00+05:30,609.05,610.05,586.6,595.8,1430
2022-11-25 00:00:00+05:30,595.45,614.0,591.0,609.85,1949
2022-11-28 00:00:00+05:30,609.85,615.1,609.85,610.65,571
2022-11-29 00:00:00+05:30,609.3,613.55,601.0,605.85,1006
2022-11-30 00:00:00+05:30,595.9,619.75,595.9,610.95,886
2022-12-01 00:00:00+05:30,621.5,625.15,602.25,612.05,1872
2022-12-02 00:00:00+05:30,602.65,623.95,602.65,616.55,761
2022-12-05 00:00:00+05:30,628.0,644.0,602.15,625.45,1429
2022-12-06 00:00:00+05:30,628.05,629.0,610.15,624.7,1441
2022-12-07 00:00:00+05:30,618.05,625.95,612.3,622.2,610
2022-12-08 00:00:00+05:30,619.15,626.0,616.75,617.0,1612
2022-12-09 00:00:00+05:30,620.45,626.45,603.0,609.95,1716
2022-12-12 00:00:00+05:30,612.9,614.8,591.55,611.0,1791
2022-12-13 00:00:00+05:30,619.85,623.95,593.3,611.3,5542
2022-12-14 00:00:00+05:30,625.05,625.05,605.0,606.1,2444
2022-12-15 00:00:00+05:30,615.05,619.9,600.05,605.05,1091
2022-12-16 00:00:00+05:30,595.25,614.95,591.5,605.2,3087
2022-12-19 00:00:00+05:30,605.2,612.15,592.6,598.25,1429
2022-12-20 00:00:00+05:30,594.25,609.0,586.4,607.35,2146
